Node,Population,Case Rate,Vaccination Rate,Ratio
1,0,0,0,0
2,0,0,0,0
3,12007,46,1050,0.003845157792
4,12204,47,1050,0.003845157792
5,14634,46,1050,0.00316456427
6,42654,108,1050,0.002533023802
7,38720,85,1050,0.002200125024
8,0,0,0,0
9,0,0,0,0
10,11449,36,1050,0.003158331772
11,26615,74,1050,0.002781031119
12,35233,90,1050,0.002557429934
13,44840,100,1050,0.002230287815
14,48796,85,1050,0.001747169592
15,20116,71,1050,0.003509370511
16,33906,131,1050,0.003858878953
17,39970,116,1050,0.00290485702
18,43894,74,1050,0.001684780373
19,54833,75,1050,0.001371365761
20,38360,131,1050,0.003417359741
21,43119,97,1050,0.002251346884
22,46103,69,1050,0.001498894792
23,41611,66,1050,0.001591968723
24,19806,46,1050,0.002328692485
25,21805,54,1050,0.002463352945
26,19502,51,1050,0.002590236035
27,31050,57,1050,0.001824294548
28,26330,42,1050,0.001600080301
29,23824,38,1050,0.001615361861
30,27683,71,1050,0.002559225053
31,25436,86,1050,0.003373148699
32,18421,76,1050,0.004147397587
33,26681,119,1050,0.00445428692
34,28442,115,1050,0.004059666467
35,19915,66,1050,0.003315580058
36,26072,94,1050,0.003593743653
37,15154,23,1050,0.001516774585
38,26274,44,1050,0.001686351396
39,16882,52,1050,0.003088470423
40,28434,123,1050,0.004339597403
41,31731,142,1050,0.004473462646
42,15074,58,1050,0.003830676258
43,27549,129,1050,0.004683824538
44,26502,115,1050,0.004357777776
45,16949,40,1050,0.002366281336
46,19849,36,1050,0.001805451268
47,25885,103,1050,0.003969466784
48,9062,26,1050,0.002906569191
49,14992,40,1050,0.002663934105
50,20262,37,1050,0.001836081471
51,20023,39,1050,0.001954283757
52,15972,63,1050,0.003950352531
53,13997,68,1050,0.004860633219
54,9939,15,1050,0.001490830499
55,13351,20,1050,0.001489954211
56,17283,35,1050,0.002031678252
57,11985,29,1050,0.002399549946
58,9590,25,1050,0
59,9187,24,1050,0.002659719085
60,8964,24,1050,0.002704494999
61,16214,34,1050,0.002102293789
62,11597,16,1050,0.001350793346
63,11904,19,1050,0.001583110397
64,13034,27,1050,0.00208656574
65,7434,19,1050,0.002559501645
66,4047,13,1050,0.003259777476
