Node,Population,Case Rate,Vaccination Rate,Ratio
1,23547,52,1680,0.002212718631
2,32259,56,2100,0.001736588669
3,30474,49,2100,0.001608441004
4,36251,86,2310,0.002364029018
5,29730,104,1890,0.003487959142
6,43580,75,2520,0.001722445631
7,27450,51,1890,0.001858630838
8,34837,89,2100,0.002565328888
9,36089,166,2310,0.004600693758
10,13502,31,1260,0.002323933001
11,22120,51,1680,0.00230580093
12,21542,49,1680,0.002273337038
13,27581,54,1890,0.001962833935
14,29532,69,1890,0.002345500188
15,31939,84,2100,0.002630414907
16,17239,50,1470,0.002911873626
17,22184,78,1680,0.003504027556
18,39529,91,2310,0.002301943791
19,33033,61,2100,0.001844061557
20,28425,55,1890,0.001939294909
21,18670,30,1470,0.001620803758
22,12979,24,1260,0.00183671041
23,14638,38,1260,0.00261459181
24,13585,24,1260,0.001763266065
25,15424,25,1470,0.001644921885
26,16902,58,1470,0.00343359723
27,15727,36,1470,0.002310651309
28,16511,48,1470,0.00289357653
29,18447,54,1470,0.002924936389
30,27302,51,1890,0.001849974668
31,23135,98,1680,0.004231257144
32,25752,73,1890,0.002819194224
33,18942,61,1470,0.00324498033
34,29009,101,1890,0.003484910657
35,23576,90,1680,0.003830676258
36,31634,145,2100,0.004593267769
37,35609,159,2310,0.004451718813
38,21293,76,1680,0.0035774137
39,17472,57,1470,0.00323545412
40,15399,29,1470,0.001908128986
41,16117,26,1470,0.00160260122
42,23826,106,1680,0.004441427125
43,23658,43,1680,0.001815939972
44,9645,25,1050,0.002620248868
45,8082,21,1050,0.002620248868
46,17986,38,1470,0.002130158549
47,21936,45,1680,0.002038628403
48,19243,93,1470,0.004850759307
49,15491,26,1470,0.001649735532
50,13336,18,1260,0.001344204463
51,39101,60,2310,0.00153289783
52,4292,7,1050,0.001738950404
53,15621,29,1470,0.001878412991
54,24751,40,1680,0.001627448586
55,16629,33,1470,0.001956902023
56,16025,36,1470,0.002263669691
57,13922,42,1260,0.003028318612
58,0,0,0,0
59,20509,73,1680,0.003536428295
60,15785,63,1470,0.003998744728
61,55259,230,2520,0.004161466471
62,15399,34,1470,0.00219995607
63,5310,14,1050,0.002639669081
64,24542,112,1680,0.004581703594
65,18487,32,1470,0.00173084818
66,8518,27,1050,0.003169718297
